CID,biasCor_mu,bias_improvement,biasCor_mu_EUCLID
1335432,-0.0073,-0.18095202398919247,0.17365202398919247
1261259,-0.0026,-0.17746235074148675,0.17486235074148676
1313057,-0.1212,-0.18117503200031335,0.059975032000313344
1303699,0.0363,-0.19559556837404488,0.23189556837404487
1474020,-0.0475,-0.16688446245643315,0.11938446245643315
1316626,-0.0032,-0.18344540367593937,0.18024540367593936
1334707,0.0912,-0.1670915181637976,0.2582915181637976
1339217,-0.0046,-0.179402192920806,0.174802192920806
1655086,-0.0143,-0.16261037696494518,0.14831037696494517
1297465,-0.0682,-0.15295917838301004,0.08475917838301004
1504139,0.0531,-0.2018103952149919,0.25491039521499187
1297501,0.08,-0.1652889629199605,0.2452889629199605
1332819,-0.0672,-0.17759319068604554,0.11039319068604554
1300912,-0.015,-0.1765973458970151,0.16159734589701508
1289600,0.0504,-0.16051153140094093,0.21091153140094093
1330350,-0.0974,-0.1721806880630596,0.07478068806305961
1324685,-0.0544,-0.18655836188265656,0.13215836188265656
1448122,-0.0165,-0.1284034744720836,0.11190347447208361
1293783,-0.0682,-0.12629295198427778,0.05809295198427779
1302187,-0.0402,-0.16079600019178347,0.12059600019178347
1293789,0.0025,-0.1822286436051393,0.1847286436051393
1618042,-0.0366,-0.13519964318069333,0.09859964318069334
1302359,-0.0781,-0.18279421438365187,0.10469421438365187
1900865,-0.126,-0.20198686496637214,0.07598686496637214
1297580,0.1427,-0.1497138641090116,0.2924138641090116
1817269,-0.0218,-0.1724565270291152,0.1506565270291152
1896213,-0.2121,-0.1941787515261939,-0.017921248473806106
1277715,-0.0097,-0.1457306909081104,0.13603069090811037
1943111,-0.0526,-0.20634102603868598,0.15374102603868597
1293921,0.0052,-0.13205650745374087,0.13725650745374088
1255139,0.1213,-0.15329566822785687,0.27459566822785686
1934253,-0.0279,-0.16132386744272795,0.13342386744272794
1255169,0.3493,-0.19837625988260155,0.5476762598826015
1904287,-0.0293,-0.183997059477011,0.154697059477011
1904293,-0.0935,-0.177029185613477,0.083529185613477
1642178,-0.0313,-0.18979018350267673,0.15849018350267674
1311001,-0.0782,-0.18354109407975855,0.10534109407975854
1257605,0.0295,-0.19647762732720808,0.22597762732720808
1302123,-0.031,-0.13303944683623448,0.10203944683623448
1879426,0.0125,-0.12344535005398351,0.1359453500539835
1948209,0.0183,-0.16156256272534172,0.17986256272534173
1366482,0.0098,-0.12745055604478076,0.13725055604478076
1256570,-0.0465,-0.1926338462172903,0.1461338462172903
1495047,-0.0254,-0.1759388281835387,0.1505388281835387
1315947,0.1008,-0.1603763590146187,0.26117635901461866
1326299,0.1863,-0.18013290213041377,0.3664329021304138
1329168,0.0988,-0.17875570410328417,0.2775557041032842
1547071,0.0321,-0.15830121057901536,0.19040121057901535
1902212,0.0017,-0.12756015438139598,0.129260154381396
1311113,0.0761,-0.1688275896517652,0.2449275896517652
1257256,-0.1603,-0.20046513736975038,0.04016513736975039
1259352,-0.0722,-0.19019111056360608,0.11799111056360607
1316465,0.0014,-0.1747531812355471,0.1761531812355471
1643213,0.0136,-0.18443036339787297,0.19803036339787297
1295592,-0.0558,-0.1843836515131008,0.1285836515131008
1881037,0.1775,-0.1803910673033801,0.35789106730338005
1343208,-0.0893,-0.17924334869335318,0.08994334869335317
1335717,0.0079,-0.17955655362688805,0.18745655362688804
1253180,-0.0878,-0.2018248481240577,0.1140248481240577
1909375,0.0003,-0.1985373594348226,0.19883735943482259
1380167,0.0749,-0.18162939489051974,0.25652939489051974
1322975,0.4157,-0.17778373208824233,0.5934837320882423
1261233,-0.0137,-0.1606534988455265,0.1469534988455265
1876204,-0.0298,-0.16763766238190547,0.13783766238190548
1256596,-0.0273,-0.19190452929061902,0.16460452929061903
1333489,0.0478,-0.1847837918431054,0.2325837918431054
1257602,0.0191,-0.1635873904786315,0.1826873904786315
