DES_ID_x,Euclid_ID_x,IDSURVEY,zHD,zHDERR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,logmass,logmass_err,MATCH,disk_sersic_sersic_index,disk_sersic_sersic_index_err,phz_pp_median_sfhage,phz_pp_mode_sfhage,phz_pp_68_sfhage,phz_pp_median_sfhtimescale,phz_pp_mode_sfhtimescale,phz_pp_68_sfhtimescale,phz_pp_median_sfr,phz_pp_mode_sfr,phz_pp_68_sfr,phz_pp_median_stellarmass,phz_pp_mode_stellarmass,phz_pp_68_stellarmass,phz_pp_median_stellarmetallicity,phz_pp_mode_stellarmetallicity,phz_pp_68_stellarmetallicity,galaxyclass,sfhtype,imf
1332594,-5.27121E+17,10,0.61302,0.0019,8.895,0.027,0.516,0.517,-8.344,0.52878,-0.145,-999,8.895,0.027,FALSE,,,0.183120608,0.059924163,"[0.05754787102341652,0.2725210189819336]",0.630257547,0.023035072,"[0.07180851697921753,8.362709045410156]",0.378344774,0.410702944,"[0.2325037717819214,0.4815722703933716]",8.388900757,8.316753387,"[8.15665340423584,8.560454368591309]",1.821370482,1.821370482,"[1.491495966911316,1.9231433868408203]",-99,-99,-99
1560099,-5.27122E+17,10,0.68006,0.00196,10.927,0.043,1.345,0.617,-9.597,0.62818,1.128,-999,10.927,0.043,FALSE,,,,,,,,,,,,,,,,,,,,
1902212,-5.27205E+17,10,0.28169,0.00163,9.578,0.002,1.464,0.191,-8.106,0.19204,0.233,-999,9.578,0.002,TRUE,,,6.717850685,6.717850685,"[6.717850685119629,6.717850685119629]",21.88550758,21.88550758,"[21.885507583618164,21.885507583618164]",1.026138306,1.026138306,"[1.0261383056640625,1.0266568660736084]",10.34941959,10.34941959,"[10.349419593811035,10.34993839263916]",1.509549022,1.509549022,"[1.5095490217208862,1.5095490217208862]",-99,-99,-99
1264606,-5.27262E+17,10,0.6811,0.00196,10.737,0.019,0.604,0.465,-10.137,0.472,1.162,-999,10.737,0.019,FALSE,,,2.27001524,2.17371273,"[1.647129774093628,6.482424736022949]",0.581070423,0.510317624,"[0.4668544828891754,1.9671518802642822]",0.894954979,0.993832469,"[0.6207319498062134,1.6251472234725952]",10.61730289,10.61730289,"[10.554972648620605,10.793135643005371]",0.414852887,0.317414641,"[0.31741464138031006,1.48441743850708]",-99,-99,-99
1339176,-5.27286E+17,10,0.92537,0.00217,9.422,0.084,0.847,0.344,-8.564,0.36954,-0.04,-999,9.422,0.084,FALSE,,,0.054704301,2.089644194,"[0.02820434421300888,0.09716057777404785]",1.042627811,0.811944187,"[0.08677749335765839,8.600423812866211]",-0.954062223,0.556417346,"[-1.0598337650299072,-0.680424690246582]",6.992320538,9.801952362,"[6.887401580810547,7.23126220703125]",1.697628498,1.337450266,"[1.3607615232467651,1.9346743822097778]",-99,-99,-99
1339227,-5.27319E+17,10,0.82081,0.00208,10.748,0.019,0.972,0.468,-9.785,0.47462,1.051,-999,10.748,0.019,FALSE,,,3.083317518,3.929911613,"[0.9798269271850586,4.725107192993164]",1.992128372,1.992128372,"[0.9253013134002686,8.333634376525879]",1.337993145,1.223341703,"[1.1240030527114868,1.7634984254837036]",10.5411396,10.60628414,"[10.377643585205078,10.664794921875]",1.11160779,1.234198093,"[0.9161867499351501,1.6400339603424072]",-99,-99,-99
1311113,-5.27371E+17,10,0.61533,0.0019,9.02,0.025,-0.03,0.032,-9.061,0.1368,0.025,-999,9.02,0.025,FALSE,,,0.30941987,0.050858721,"[0.08595283329486847,2.0201401710510254]",3.777778864,16.11464882,"[0.44211137294769287,13.882108688354492]",-0.369528472,0.955103755,"[-1.1518754959106445,0.9304227828979492]",8.465808868,8.886762619,"[7.429964542388916,8.886762619018555]",1.280079842,1.452360272,"[0.6592814326286316,1.5921777486801147]",-99,-99,-99
1912270,-5.274E+17,10,0.86642,0.00212,9.674,0.015,1.268,0.197,-8.398,0.20082,-0.03,-999,9.674,0.015,FALSE,,,1.434414744,2.699655771,"[0.209157794713974,3.6863977909088135]",1.501752853,0.82367599,"[0.49898430705070496,21.752716064453125]",1.065132856,0.56078124,"[0.7458692789077759,1.5296177864074707]",9.85676384,10.05114555,"[9.56661319732666,9.98606014251709]",1.148193836,0.534702361,"[0.5347023606300354,1.6819771528244019]",-99,-99,-99
1912066,-5.27433E+17,10,0.87344,0.00212,11.232,0.039,0.099,7.865,-11.155,7.86734,1.421,-999,11.232,0.039,FALSE,,,1.812585354,1.818176985,"[1.4606069326400757,2.0244321823120117]",0.029171292,0.027017176,"[0.012698988430202007,0.19934464991092682]",-14.50324821,-22.50534248,"[-59.01961898803711,-0.29046154022216797]",11.02365971,11.06251144,"[11.006595611572266,11.062511444091797]",1.317590714,1.250797987,"[1.1475478410720825,1.6198029518127441]",-99,-99,-99
1912066,-5.27433E+17,10,0.87344,0.00212,11.232,0.039,0.099,7.865,-11.155,7.86734,1.421,-999,11.232,0.039,FALSE,,,1.812585354,1.818176985,"[1.4606069326400757,2.0244321823120117]",0.029171292,0.027017176,"[0.012698988430202007,0.19934464991092682]",-14.50324821,-22.50534248,"[-59.01961898803711,-0.29046154022216797]",11.02365971,11.06251144,"[11.006595611572266,11.062511444091797]",1.317590714,1.250797987,"[1.1475478410720825,1.6198029518127441]",-99,-99,-99
1778026,-5.27433E+17,10,0.87344,0.00212,11.225,0.044,0.099,7.865,-11.155,7.86734,1.417,-999,11.225,0.044,FALSE,,,1.812585354,1.818176985,"[1.4606069326400757,2.0244321823120117]",0.029171292,0.027017176,"[0.012698988430202007,0.19934464991092682]",-14.50324821,-22.50534248,"[-59.01961898803711,-0.29046154022216797]",11.02365971,11.06251144,"[11.006595611572266,11.062511444091797]",1.317590714,1.250797987,"[1.1475478410720825,1.6198029518127441]",-99,-99,-99
1778026,-5.27433E+17,10,0.87344,0.00212,11.225,0.044,0.099,7.865,-11.155,7.86734,1.417,-999,11.225,0.044,FALSE,,,1.812585354,1.818176985,"[1.4606069326400757,2.0244321823120117]",0.029171292,0.027017176,"[0.012698988430202007,0.19934464991092682]",-14.50324821,-22.50534248,"[-59.01961898803711,-0.29046154022216797]",11.02365971,11.06251144,"[11.006595611572266,11.062511444091797]",1.317590714,1.250797987,"[1.1475478410720825,1.6198029518127441]",-99,-99,-99
1257256,-5.2746E+17,10,0.42235,0.00174,11.1,0.05,0.665,0.208,-10.642,0.2699,1.596,-999,11.1,0.05,FALSE,,,0.691746116,0.691746116,"[0.6917461156845093,1.407508373260498]",0.103296421,0.103296421,"[0.1032964214682579,0.2252568006515503]",1.501925588,1.501925588,"[1.2274757623672485,1.5019255876541138]",11.21246433,11.21246433,"[11.182228088378906,11.212464332580566]",1.512411833,1.512411833,"[0.3317556083202362,1.5124118328094482]",-99,-99,-99
1252183,-5.2746E+17,10,0.97242,0.00221,10.476,0.017,0.502,0.035,-9.983,0.0928493,0.759,-999,10.476,0.017,FALSE,,,0.493714005,0.665808916,"[0.2245500236749649,4.292904853820801]",1.790773392,28.73362923,"[0.2918311059474945,8.768462181091309]",1.531094313,1.496795774,"[0.9829466342926025,1.7105215787887573]",9.82803154,9.903344154,"[9.767813682556152,10.287930488586426]",1.061811209,1.314702153,"[0.3156477212905884,1.4787511825561523]",-99,-99,-99
1259352,-5.2777E+17,10,0.21986,0.00158,10.463,0.08,-2.717,7.283,-13.224,7.28614,1.436,-999,10.463,0.08,FALSE,,,1.323162198,1.323162198,"[0.3749580979347229,1.3231621980667114]",20.43214035,20.43214035,"[0.2923671007156372,20.432140350341797]",2.084107876,2.084107876,"[2.0841078758239746,2.290004253387451]",10.7469902,10.7469902,"[10.616843223571777,10.746990203857422]",0.184063971,0.184063971,"[0.18406397104263306,0.33067587018013]",-99,-99,-99
1307843,-5.27848E+17,10,0.92146,0.00217,9.576,0.076,1.313,0.695,-8.259,0.70093,0.013,-999,9.576,0.076,FALSE,,,0.843380868,0.29398483,"[0.21609918773174286,2.669889211654663]",0.483938336,0.077152334,"[0.05122038349509239,11.34476089477539]",0.90278554,0.970080614,"[0.6992774605751038,1.196747064590454]",9.670855522,9.519061089,"[9.571191787719727,9.740811347961426]",0.471372336,0.23272115,"[0.23272114992141724,0.9143206477165222]",-99,-99,-99
1316465,-5.27975E+17,10,0.32909,0.00166,9.117,0.019,0.55,0.127,-8.555,0.13441,0.463,-999,9.117,0.019,FALSE,,,2.921144485,0.221365213,"[0.25339314341545105,10.736083984375]",0.424864411,0.424864411,"[0.13101498782634735,2.7093663215637207]",-3.167043924,0.93451035,"[-37.82038879394531,0.934510350227356]",8.535258293,9.005382538,"[8.241823196411133,9.068381309509277]",0.262713194,0.192962483,"[0.18074636161327362,0.7255925536155701]",-99,-99,-99
1643213,-5.28056E+17,10,0.65526,0.00193,9.734,0.006,1.488,0,-8.252,0.05,-0.064,-999,9.734,0.006,FALSE,,,0.34028554,0.329169065,"[0.10631213337182999,0.8489550948143005]",3.438082933,24.43990517,"[0.0896044597029686,17.8022403717041]",1.272477627,1.309666395,"[1.0480923652648926,1.4342858791351318]",9.559333801,9.471951485,"[9.457880973815918,9.68230152130127]",1.328563333,0.287516862,"[0.6600035429000854,1.8477933406829834]",-99,-99,-99
1295592,-5.2806E+17,10,0.35631,0.00169,10.912,0.014,1.074,0.311,-9.785,0.3141,1.157,-999,10.912,0.014,TRUE,,,2.540938616,2.540938616,"[2.54093861579895,2.54093861579895]",0.42690742,0.42690742,"[0.42690742015838623,0.42690742015838623]",0.698444247,0.698444247,"[0.6984442472457886,0.6984442472457886]",10.83959198,10.83959198,"[10.839591979980469,10.839591979980469]",1.202012062,1.202012062,"[1.202012062072754,1.202012062072754]",-99,-99,-99
1263125,-5.28149E+17,10,1.02868,0.00226,10.74,0.011,0.785,0.018,-9.96,0.0937443,0.733,-999,10.74,0.011,FALSE,,,0.050374605,0.050374605,"[0.025502964854240417,0.11380751430988312]",0.324326485,0.297223359,"[0.024442940950393677,11.304232597351074]",1.809589386,1.809589386,"[1.6903470754623413,1.9744290113449097]",9.770850182,9.739640236,"[9.636594772338867,9.893622398376465]",1.416770816,1.589072704,"[1.152985692024231,1.6147830486297607]",-99,-99,-99
1881037,-5.28186E+17,10,0.76584,0.00203,10.96,0.009,1.201,0.02,-9.758,0.0594643,0.923,-999,10.96,0.009,TRUE,,,3.206301928,3.206301928,"[1.3532313108444214,3.2063019275665283]",1.068099737,1.068099737,"[1.0680997371673584,26.899089813232422]",1.346719742,1.346719742,"[1.346719741821289,2.0036675930023193]",10.85146141,10.85146141,"[10.677556991577148,10.851461410522461]",1.147875428,1.147875428,"[0.4779548645019531,1.147875428199768]",-99,-99,-99
1833564,-5.28224E+17,10,0.65461,0.00193,9.151,0.034,0.126,0.079,-9.034,0.19292,0.037,-999,9.151,0.034,FALSE,,,3.671288967,0.01151162,"[1.4265683889389038,6.2463765144348145]",3.355735779,0.218920037,"[1.1193969249725342,10.550557136535645]",-0.223808587,1.368693829,"[-0.6241110563278198,0.19271749258041382]",9.044583321,9.34455204,"[8.886811256408691,9.195480346679688]",0.251297623,1.722836018,"[0.1168026477098465,0.5771715641021729]",-99,-99,-99
1347112,-5.28421E+17,10,0.79318,0.00205,9.333,0.021,1.025,0.178,-8.307,0.18721,-0.071,-999,9.333,0.021,FALSE,,,0.973581254,0.612955689,"[0.5478305220603943,2.7934818267822266]",3.777206182,12.45697498,"[0.47541338205337524,12.456974983215332]",0.96550703,1.165501952,"[0.7169402241706848,1.1655019521713257]",9.607581139,9.544807434,"[9.544807434082031,9.776244163513184]",0.620900452,0.443502516,"[0.3912788927555084,1.2554676532745361]",-99,-99,-99
1343208,-5.28466E+17,10,0.495,0.0018,10.557,0.023,0.553,0.648,-10.004,0.65145,1.221,-999,10.557,0.023,FALSE,,,2.022842407,2.022842407,"[2.0228424072265625,2.395775318145752]",0.053952079,0.053952079,"[0.05395207926630974,0.14532260596752167]",-11.29868221,-11.29868221,"[-11.299609184265137,-3.1951074600219727]",10.43358612,10.43358612,"[10.432659149169922,10.497285842895508]",1.845366597,1.845366597,"[1.7262389659881592,1.8453665971755981]",-99,-99,-99
1644061,-5.28476E+17,10,0.61287,0.0019,10.798,0.023,0.693,0.187,-10.137,0.21901,1.251,-999,10.798,0.023,FALSE,,,1.654512525,1.654512525,"[1.5059539079666138,2.6014771461486816]",0.038912322,0.038912322,"[0.012123909778892994,0.2110818475484848]",-12.96308327,-12.96519089,"[-45.46262741088867,-1.5881304740905762]",10.59004307,10.56263733,"[10.562637329101562,10.634540557861328]",1.752470732,1.835083485,"[1.375780463218689,1.8350834846496582]",-99,-99,-99
1323831,-5.28538E+17,10,0.31079,0.00165,10.623,0.013,1.152,0.012,-9.477,0.0233238,1.023,-999,10.623,0.013,TRUE,,,1.043659568,1.043659568,"[1.0436595678329468,1.0436595678329468]",0.325326413,0.325326413,"[0.32532641291618347,0.32532641291618347]",1.456563234,1.456563234,"[1.4565632343292236,1.4565632343292236]",10.53648281,10.53648281,"[10.536482810974121,10.536482810974121]",1.422333241,1.422333241,"[1.4223332405090332,1.4223332405090332]",-99,-99,-99
