Euclid_ID_x,DES_ID_x,right_ascension,declination,kron_radius,flux_detection_total,agn_no,agn_yes,asymmetry,asymmetry_err,bar_no,bar_strong,bar_weak,basic_download_data_oid,bulge_size_dominant,bulge_size_large,bulge_size_moderate,bulge_size_none,bulge_size_small,clump_count_above_threshold,clump_count_any_threshold,clump_count_unusual_above_threshold,clump_count_unusual_any_threshold,disk_edge_on_no,disk_edge_on_yes,disk_sersic_angle,disk_sersic_angle_err,disk_sersic_disk_axis_ratio,disk_sersic_disk_axis_ratio_err,disk_sersic_disk_radius,disk_sersic_disk_radius_err,disk_sersic_duration,disk_sersic_flags,disk_sersic_iterations,disk_sersic_reduced_chi2,disk_sersic_sersic_axis_ratio,disk_sersic_sersic_axis_ratio_err,disk_sersic_sersic_index,disk_sersic_sersic_index_err,disk_sersic_sersic_radius,disk_sersic_sersic_radius_err,dwarf_no,dwarf_yes,edge_on_bulge_boxy,edge_on_bulge_none,edge_on_bulge_rounded,etg_or_ltg,has_spiral_arms_no,has_spiral_arms_yes,how_rounded_cigar_shaped,how_rounded_completely,how_rounded_in_between,lopsided_no,lopsided_yes,major_merger,major_merger_stage,major_merger_stage_probability,major_merger_stage_uncertainty,major_merger_uncertainty,merging_major_disturbance,merging_merger,merging_minor_disturbance,merging_none,object_id,peculiar_no,peculiar_yes,ring_no,ring_yes,sersic_angle,sersic_angle_err,sersic_ext_duration,sersic_ext_flags,sersic_ext_iterations,sersic_ext_reduced_chi2,sersic_sersic_nir_axis_ratio,sersic_sersic_nir_axis_ratio_err,sersic_sersic_nir_index,sersic_sersic_nir_index_err,sersic_sersic_nir_radius,sersic_sersic_nir_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_visnir_duration,sersic_visnir_flags,sersic_visnir_iterations,sersic_visnir_reduced_chi2,smooth_or_featured_artifact_star_zoom,smooth_or_featured_featured_or_disk,smooth_or_featured_smooth,spiral_arm_count_1,spiral_arm_count_2,spiral_arm_count_3,spiral_arm_count_4,spiral_arm_count_cant_tell,spiral_arm_count_more_than_4,spiral_winding_loose,spiral_winding_medium,spiral_winding_tight,to_be_published,t_type,gini,gini_err,moment_20,moment_20_err,concentration,concentration_err,smoothness,smoothness_err,HOST_RA,HOST_DEC,DLR,SN_RA,SN_DEC,DDLR,d_DLR,ANGSEP
-537958513285322374,1887027,53.795851363557375,-28.53223744706911,194.1650390625,283.09375,,,0.2150973677635193,2.704869530134601e-06,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-537958513285322374,,,,,-38.54100799560547,0.0755102559924125,6.067205905914307,0,52,1.473852038383484,0.6017413139343262,0.0007941349758766,3.4304733276367188,0.0204496625810861,3.2046120166778564,0.0166034009307622,0.5797977447509766,0.0007249724003486,1.9530925750732424,0.0108727049082517,3.693457841873169,0.0128683671355247,19.78226661682129,0,124,2.073288679122925,,,,,,,,,,,,,1,,0.7089052796363831,,-2.562605619430542,0.2628129124641418,4.327329635620117,0.1314064562320709,0.1858809143304824,0.0015795006183907,53.79583,-28.532192,0.0580023557579077,53.796448,-28.530863,3.0904127700867496,1.713566289587688,5.29562714373196
-528838506281706554,1257587,52.88385061241576,-28.170655426550944,16.565488815307617,1.974332451820373,,,0.2377128303050995,0.0001894573506433,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-528838506281706554,,,,,-7.9358134269714355,1.0965741872787476,0.7594096064567566,0,81,0.0828759372234344,0.4745948314666748,0.0543139651417732,2.127711534500122,0.558889627456665,0.2645590305328369,0.0172891803085804,0.3243958652019501,0.0197841674089431,4.3685173988342285,0.5395147204399109,0.1589157283306121,0.0069080907851457,1.6736351251602173,0,201,0.3908611834049225,,,,,,,,,,,,,1,,0.7379687428474426,,-1.998361110687256,1.9208890199661253,3.1260249614715576,0.9604445099830629,0.2279252707958221,0.0551130324602127,52.883854,-28.170618,2.61784715215764,52.884262,-28.170683,0.09240217776606602,14.169933589552084,1.3093327224751417
-517519139285359191,1316626,51.7519139616559,-28.53591916430037,45.241844177246094,2.998123407363892,,,0.2383797615766525,0.0001219319819938,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-517519139285359191,,,,,14.354613304138184,0.1700933277606964,0.4566126465797424,0,34,0.061494655907154,0.2981196343898773,0.0053688990883529,0.735830545425415,0.0251951981335878,0.7065578699111938,0.005357262212783,0.263528823852539,0.003417887026444,0.7098215222358704,0.0195551048964262,0.8128312230110168,0.0073877749964594,0.8209589123725891,0,67,0.169803112745285,,,,,,,,,,,,,1,,0.7703664898872375,,-1.824400424957276,0.5548447966575623,3.071297168731689,0.2774223983287811,0.2652449309825897,0.0335770137608051,51.751858,-28.535896,0.6108513109869576,51.751804,-28.53587,0.4268529194174652,0.9141777018696033,0.3902194209093893
-517947823278225511,1297465,51.794782330957936,-27.82255116620841,110.60163879394533,30.461898803710938,,,0.250061571598053,1.4960368389438372e-05,62.63078689575195,6.915948867797852,23.0394229888916,228,3.7422399520874015,9.357688903808594,48.03147888183594,19.53826332092285,48.91057586669922,,,,,4.322559356689453,65.25471496582031,,,,,,,,,,,,,,,,,,,15.275884628295898,65.1797866821289,30.44135284423828,,29.38705825805664,43.101844787597656,96.76907348632812,,1.7990062236785889,,,,,,,,2.07194185256958,1.446590781211853,18.205137252807617,82.30843353271484,-517947823278225511,,,,,65.79795837402344,0.0297078024595975,0.6703747510910034,0,35,0.0852789506316185,0.1986428350210189,0.0012319539673626,1.2522883415222168,0.0131720835343003,1.49877667427063,0.0060171550139784,0.1647202521562576,0.0005810796865262,0.7225462198257446,0.005191330332309,1.958279371261597,0.0050325412303209,2.372451066970825,0,81,0.3640340566635132,,64.34042358398438,29.69032096862793,4.412282466888428,21.10503196716309,7.196493148803711,3.483120441436768,74.15241241455078,3.8792977333068848,10.710088729858398,31.72087860107422,66.73640441894531,1,,0.7817775011062622,,-1.8012135028839111,0.2544676959514618,3.167452335357666,0.1272338479757309,0.4523263275623321,0.0094635589048266,51.794724,-27.822512,0.7048428080419195,51.795311,-27.822104,2.157038777417039,1.079755504444564,2.3290744932164205
-517497135281632132,1474020,51.74971358130797,-28.16321323829624,33.37923049926758,5.029088020324707,,,0.3623308539390564,9.8229713330511e-05,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-517497135281632132,,,,,40.95619583129883,2.77644681930542,0.2921116054058075,0,26,0.0953916981816291,0.8849913477897644,0.0194499213248491,1.23912250995636,0.0645012483000755,0.4600310623645782,0.0085300300270318,0.8867228031158447,0.012578235939145,1.0888590812683103,0.02866867557168,0.5346938371658325,0.0073045850731432,0.5659549236297607,0,60,0.3564479351043701,,,,,,,,,,,,,1,,0.622577965259552,,-1.4989734888076782,0.8621858358383179,2.606686592102051,0.4310929179191589,0.1660196036100387,0.0263782106339931,51.749657,-28.163149,0.6173485729969969,51.749641,-28.163183,0.5074675548744082,0.5020682910961952,0.2547833680625588
-516583798278956164,1303699,51.6583798993384,-27.89561646209657,58.1390495300293,13.825960159301758,,,0.3414703905582428,3.7648653233191e-05,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-516583798278956164,,,,,-85.5994644165039,0.1664992570877075,1.1992415189743042,0,64,0.0855757892131805,0.3909763395786285,0.0034911683760583,5.5,6.094317189893728e-27,0.927051842212677,0.009340344928205,0.3621494472026825,0.0039994581602513,2.520836591720581,0.0532078817486763,0.8141752481460571,0.0131037458777427,3.627349376678467,0,118,0.4923793077468872,,,,,,,,,,,,,1,,0.6428102254867554,,-2.044063329696656,0.6630346775054932,3.660159349441528,0.3315173387527466,0.2142758220434188,0.0136339105665683,51.658554,-27.895477,2.0812806531582924,51.65831,-27.89559,1.0416027011136113,0.23227847037994265,0.24194188215828621
-520478743278629332,1289600,52.047874388790376,-27.862933287703783,42.58887481689453,10.693050384521484,,,0.1929546594619751,6.0036869399482384e-05,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-520478743278629332,,,,,-53.65036010742188,0.7348419427871704,0.5890370011329651,0,40,0.0750406235456466,0.7859058976173401,0.0085650123655796,2.116915941238404,0.0523626580834388,0.6631546020507812,0.0092364391312003,0.8013543486595154,0.0056241420097649,1.2276265621185305,0.0156723912805318,0.6728824973106384,0.0048425863496959,0.8794451355934143,0,57,0.2049677819013595,,,,,,,,,,,,,1,,0.6799108386039734,,-1.8750951290130613,0.7350559830665588,2.909055709838867,0.3675279915332794,0.1653511673212051,0.0164531096816062,52.047855,-27.862896,0.2220479051035997,52.047657,-27.862852,0.7406318414444073,1.0142873663533232,0.7512135198960599
-515587113281348843,1261259,51.55871131095624,-28.134884350283546,40.240020751953125,11.86645793914795,,,0.1797236055135727,4.6966717491159216e-05,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-515587113281348843,,,,,-47.73995208740234,0.2126177251338958,0.9175595045089722,0,64,0.0808182656764984,0.5652469992637634,0.0050256652757525,0.8174319863319397,0.0175132472068071,0.5816012620925903,0.0032722351606935,0.5378605723381042,0.0030781251844018,0.5605026483535767,0.0072043091058731,0.6560907363891602,0.0026364356745034,1.989025950431824,0,157,0.3669047653675079,,,,,,,,,,,,,1,,0.5361695289611816,,-1.5299633741378784,0.7122003436088562,2.507878541946411,0.3561001718044281,0.1303149163722992,0.0134643074125051,51.558685,-28.13479,0.6653092610256601,51.558544,-28.134834,0.7593300354778709,0.7391074545569177,0.5612264896906632
-516473284280214781,1313057,51.64732842925356,-28.021478180218647,109.77901458740234,25.22867774963379,,,0.2800875604152679,1.9640767277451232e-05,51.65882110595703,27.72087287902832,24.12097930908203,228,15.923259735107422,17.258358001708984,39.99089431762695,54.31854248046875,46.7618522644043,,,,,1.337684154510498,90.7195816040039,,,,,,,,,,,,,,,,,,,13.681492805480955,68.41189575195312,14.565147399902344,,61.76485443115234,23.568389892578125,99.26380920410156,,1.3439873456954956,,,,,,,,3.487868070602417,4.524744510650635,14.195213317871094,75.5986099243164,-516473284280214781,,,,,-59.568973541259766,0.0321176387369632,1.5167789459228516,0,79,0.0739922374486923,0.1847968101501464,0.0009022714802995,1.0024467706680298,0.008502472192049,1.5373026132583618,0.0041356799192726,0.162366509437561,0.0007536165649071,0.7772486209869385,0.0073355310596525,2.055203914642334,0.0076019898988306,5.622174263000488,0,156,0.4022699892520904,,47.88850784301758,28.68733596801757,37.350677490234375,27.71167755126953,6.699056625366211,2.7806143760681152,78.91106414794922,4.519537925720215,24.221513748168945,37.07488250732422,65.25302124023438,1,,0.7771934866905212,,-1.7050172090530396,0.253873735666275,3.104450225830078,0.1269368678331375,0.4418345987796783,0.010882087983191,51.647289,-28.021437,0.1357074273794445,51.647163,-28.021414,4.1593796147596755,0.13806417390085998,0.5742613104518719
-516721809283234980,1309215,51.67218090862801,-28.32349809859117,37.06753540039063,1.185662865638733,,,0.4475480616092682,0.0002565641480032,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-516721809283234980,,,,,61.71701431274414,2.573885917663574,1.382866382598877,0,116,0.0670407637953758,0.6598198413848877,0.0433016642928123,0.3000156581401825,0.0054840706288814,0.9383158087730408,0.0400211699306964,0.7180231213569641,0.0270181410014629,0.3109092116355896,0.0330862924456596,0.8809173703193665,0.0449210777878761,3.7421703338623047,0,388,0.2676717936992645,,,,,,,,,,,,,1,,0.7612469792366028,,-0.9021199345588684,0.6208490133285522,2.2650835514068604,0.3104245066642761,0.3031851947307586,0.0517381951212883,51.672451,-28.323631,1.5501621589035504,51.672638,-28.323961,0.7553731471676082,2.9230637135642006,2.208003836686426
