Euclid_ID,DES_ID,DDLR,HOST_DDLR,right_ascension,declination,HOST_RA,HOST_DEC,SN_RA,SN_DEC
-532257415282400330,1262232,0.9240226118496933,0.794,53.22574151940563,-28.24003306512169,53.225716,-28.239973,53.225521,-28.239893
-536374712295111723,1366436,1.3688054906276956,0.561,53.637471233151466,-29.511172333887323,53.637478,-29.511131,53.637379,-29.51112
-536741865295643421,1254000,0.6488500728996659,0.901,53.67418652877325,-29.564342180201297,53.674152,-29.564306,53.674316,-29.56455
-534715691293795974,1291842,1.4860429241036452,1.196,53.47156914968304,-29.37959741989433,53.471504,-29.37956,53.471634,-29.379313
-529462058278475857,1250803,0.2935711958810093,0.801,52.9462058245165,-27.84758576857426,52.946404,-27.84753,52.946167,-27.847559
-537408566286269137,1297318,0.7335509476874409,0.571,53.74085660542003,-28.626913733774604,53.740826,-28.626862,53.74073,-28.626982
-527121879282135682,1560099,0.8807295156351128,0.895,52.71218795088311,-28.213568214183887,52.712143,-28.213511,52.712437,-28.213356
-532210123280315272,1652139,0.2783063862133498,0.557,53.221012336188906,-28.03152722888945,53.220966,-28.031462,53.220951,-28.031702
-527318625281252594,1339227,6.4306565438050844,2.561,52.73186259748108,-28.125259408667564,52.731831,-28.125206,52.73233,-28.125382
-519790213285648287,1343759,2.2512693042863483,1.618,51.97902139941475,-28.56482878881283,51.978951,-28.5648,51.978981,-28.564434
-518980633286736875,1904300,0.6719969260416498,0.588,51.89806339814378,-28.67368755884096,51.898125,-28.67359,51.897926,-28.673559
-534952844268722178,1305756,1.3358000362969225,1.487,53.49528444204567,-26.872217854678624,53.495224,-26.872267,53.49535,-26.872685
-540305077278236258,1862183,0.97356242380777,0.862,54.03050770003062,-27.82362581337548,54.030453,-27.823572,54.030205,-27.823437
-535541928270404961,1290812,0.9274524098650389,0.298,53.55419289433752,-27.04049614822433,53.55426,-27.040602,53.554241,-27.040655
-536920579270771064,1295249,0.2036708914131805,0.361,53.69205796399211,-27.077106405237373,53.692036,-27.077091,53.692104,-27.077173
-520504460285648472,1337541,0.8206236456245709,1.147,52.05044600029187,-28.56484729273915,52.050224,-28.56477,52.050034,-28.56514
-540443993280009492,1309376,2.405889618084452,0.787,54.0443993287007,-28.00094928419091,54.044285,-28.000912,54.044079,-28.000813
-528671733289372651,1253180,0.6217908438120575,1.902,52.86717338784922,-28.937265153726933,52.867115,-28.937235,52.867516,-28.937798
-527400045277819723,1912270,0.7916966916668068,1.093,52.74000454595868,-27.781972365292283,52.739964,-27.781902,52.740223,-27.782036
-539415185296645179,1896254,2.517475488484673,0.423,53.94151858855399,-29.66451794623602,53.94146,-29.664469,53.941498,-29.664419
-530172230280682046,1316487,0.9544118077427668,0.811,53.01722300925,-28.06820467098753,53.017178,-28.068138,53.016926,-28.068274
-535529169288973223,1299712,0.9412780240583334,0.678,53.55291694913384,-28.89732239771285,53.552898,-28.897259,53.5527,-28.897236
-532663303282434705,1250858,0.5893722845245959,0.264,53.266330327560965,-28.243470513567274,53.266315,-28.243429,53.266316,-28.243347
-528756546282418289,1909375,1.1986905891407322,0.847,52.87565465874555,-28.241828952327364,52.875629,-28.24177,52.875687,-28.241541
-530508596277584352,1548070,1.098064072487738,0.724,53.05085965419728,-27.75843523914454,53.050831,-27.758369,53.050964,-27.758246
-533043266287936530,1315570,3.33034073832788,1.801,53.30432667383538,-28.79365303639497,53.304306,-28.793615,53.304596,-28.793222
-527370635281577983,1311113,0.6446977221430785,0.658,52.737063558435686,-28.157798344537923,52.737038,-28.157749,52.737068,-28.15786
-547338322290978451,1285539,5.110287023200981,1.989,54.7338322117346,-29.097845179498314,54.733749,-29.097792,54.733101,-29.097719
-544886937273087734,1253895,0.6888118551183339,0.035,54.488693727946696,-27.308773419564776,54.488632,-27.308672,54.488648,-27.30871
-540549944276648467,1334257,0.7563301624703151,0.469,54.054994480720005,-27.66484670804231,54.054943,-27.66481,54.055016,-27.664705
-524328704276500994,1700109,0.5994329095088577,0.311,52.43287042003336,-27.650099498303742,52.432846,-27.650053,52.432846,-27.649979
-537767293273020019,1861164,2.858299927987275,1.173,53.776729333939095,-27.30200196228099,53.776703,-27.301983,53.776661,-27.3018
-520691260273552729,1259667,1.8835353745810672,1.175,52.06912602798543,-27.35527295148897,52.069096,-27.355251,52.068932,-27.355461
-543070402274221954,1254671,0.9368050111175796,1.257,54.30704026999607,-27.422195411931494,54.306995,-27.422146,54.306751,-27.421778
-536682602273916992,1297061,0.1856038161982435,0.328,53.66826021003808,-27.39169928668424,53.668236,-27.391678,53.668201,-27.391729
-523349028275874032,1891266,1.148182010820769,1.525,52.33490282353348,-27.5874032320606,52.334877,-27.587389,52.335201,-27.587145
-540308768270832535,1330559,0.7091693244594494,0.09,54.03087684162129,-27.083253547469585,54.03083,-27.083225,54.030827,-27.08321
-541245369285699530,1339392,0.8110323928186687,0.251,54.12453694337221,-28.569953003461908,54.124512,-28.569908,54.124462,-28.569849
-542989063289421042,1390164,1.853186992356532,0.372,54.29890632803134,-28.94210423121589,54.298866,-28.942039,54.298798,-28.942001
-545593364287101368,1343337,1.2939720729845663,1.103,54.55933647046111,-28.71013688560005,54.559311,-28.710089,54.559166,-28.709869
-544666414293349064,1251126,1.1736650894431224,1.74,54.46664145904279,-29.334906473695565,54.46661,-29.334866,54.466965,-29.334354
-543142556292334313,1933196,1.010624537474132,0.494,54.31425562825882,-29.23343138294872,54.314251,-29.233372,54.314098,-29.233385
-540566761269695651,1290967,0.5132736133471982,0.273,54.05667616951718,-26.96956519847259,54.056625,-26.969536,54.056568,-26.969482
-542682105296323911,1782065,1.064930617837081,0.62,54.26821057179102,-29.63239116136825,54.268177,-29.632381,54.268028,-29.632284
-545775988285029126,1265426,0.9880215657858016,0.814,54.5775988462526,-28.502912694476173,54.577587,-28.502853,54.577404,-28.502773
-527792516286789890,1449102,1.169475478182243,0.656,52.779251642305255,-28.678989065452328,52.779289,-28.6791,52.779148,-28.679045
-528793801287094447,1380167,1.0202268738164246,1.468,52.87938018452474,-28.709444777243363,52.879337,-28.709394,52.879147,-28.70973
-523939802286880079,1936293,0.5511861610021651,0.342,52.39398026448601,-28.688007963046225,52.393917,-28.687963,52.39399,-28.687922
-526971655286756946,1850154,0.6341888192135712,0.39,52.69716553607791,-28.67569467084361,52.697109,-28.675652,52.697018,-28.675591
-525146677287431491,1262895,2.3265249364309457,0.704,52.51466773509589,-28.7431491527693,52.514614,-28.743109,52.514633,-28.742975
-527793991286792607,1449102,1.243411877036323,0.656,52.77939912827389,-28.679260798771928,52.779289,-28.6791,52.779148,-28.679045
-528805180287276644,1322975,0.7486622342953512,1.416,52.88051807504586,-28.727664487738853,52.880459,-28.727621,52.880024,-28.727432
-545373871269770543,1326216,0.9310696109671978,0.843,54.53738715894111,-26.97705435051506,54.537334,-26.977034,54.537075,-26.976971
-525710018283214081,1366482,0.4082582093306049,0.612,52.57100181408001,-28.32140813184264,52.570965,-28.321358,52.570999,-28.321495
-534060943277491174,1588019,0.8128663523700769,0.521,53.406094389984645,-27.749117445313733,53.406071,-27.749104,53.405987,-27.74901
-532628664273480222,1263829,1.856438043375072,1.653,53.26286645018659,-27.34802223642127,53.262848,-27.348007,53.262592,-27.34733
-534701907274847170,1297070,0.3169473377421754,0.37,53.47019076500171,-27.48471705455476,53.470135,-27.484709,53.470223,-27.484638
-532857134275184433,1901375,1.6216237704173808,0.672,53.28571341289261,-27.51844336579036,53.285679,-27.518417,53.285568,-27.518358
-546770431294481448,1719037,2.221230768247253,1.793,54.67704315881063,-29.4481448871659,54.677017,-29.448082,54.677372,-29.447645
-530935591274941177,1537077,0.3696188298141067,0.414,53.09355918473511,-27.494117754710874,53.093517,-27.494064,53.093514,-27.49415
-531322374275777790,1334858,2.4415477529281304,1.978,53.132237491326414,-27.57777901412157,53.132202,-27.577719,53.131512,-27.577599
